order_id,customer_id,order_date,total_amount,payment_method,order_status,shipping_address,shipping_city,shipping_state,shipping_zip
3001,4817,2024-10-27 10:42:00,3763.42,Bank Transfer,Delivered,8411 Eric Throughway,Port Bruce,AK,63270
3002,7724,2024-10-10 12:34:00,1489.66,Apple Pay,Delivered,3336 Brewer Curve Apt. 685,North Pamelafort,PW,71044
3003,10046,2024-03-01 09:23:00,10.32,PayPal,Delivered,6762 Wilkinson Village Apt. 875,Rossland,PR,65529
3004,4610,2023-10-01 17:08:00,1693.61,PayPal,Delivered,1213 Aaron Islands Suite 170,Michaeltown,KY,33554
3005,5125,2023-10-22 12:44:00,1762.39,Credit Card,Returned,587 Roberts Gardens Suite 149,Heathhaven,TX,99582
3006,8709,2024-03-26 14:09:00,9.13,Credit Card,Delivered,4726 Manning Tunnel Suite 254,Pageside,NM,64782
3007,9410,2024-12-03 14:41:00,517.62,Google Pay,Delivered,5265 Lucero Union Apt. 116,Martinezmouth,MN,48754
3008,4579,2024-03-07 15:54:00,37.65,Bank Transfer,Delivered,81842 Johnson Expressway,East Jasonton,MI,62588
3009,9465,2024-12-27 15:53:00,56.87,PayPal,Shipped,53217 Jackson Branch,North Richardmouth,IL,49958
3010,8902,2023-10-17 13:49:00,3759.2,PayPal,Delivered,1691 Hickman Mountains Apt. 553,Thompsonshire,AS,29291
3011,9287,2023-08-26 17:45:00,6623.01,Google Pay,Returned,70368 Krista Centers,West Andreaside,PA,62023
3012,7737,2023-04-10 07:15:00,10469.18,Bank Transfer,Cancelled,3170 Kevin Meadows Apt. 175,Charlesland,IA,37961
3013,4869,2023-03-15 11:06:00,6084.6,Credit Card,Delivered,3841 Woodward Fork Suite 599,Angelicaborough,CA,97847
3014,7963,2024-05-25 15:51:00,118.28,Credit Card,Shipped,045 Kaufman Forge Suite 079,Lake Williamland,AK,47128
3015,7243,2023-12-27 17:44:00,521.17,Debit Card,Delivered,1019 Nichole Knolls Suite 963,South Christineview,WY,97576
3016,8448,2023-11-27 17:15:00,184.48,PayPal,Delivered,0497 Amanda Throughway,South Royborough,FM,27655
3017,4333,2024-12-13 22:16:00,36.87,Apple Pay,Cancelled,7202 Brandt Loop Apt. 069,South Kenneth,VI,73870
3018,1750,2023-06-06 11:22:00,3862.81,Debit Card,Returned,50694 Andrew Manor Apt. 725,Port Brittanytown,NY,10300
3019,3671,2023-10-13 09:19:00,1399.46,Debit Card,Processing,25341 Tara Mission,Lake Ashley,WY,82003
3020,9431,2023-11-22 11:16:00,6196.36,Apple Pay,Returned,9256 Christopher Bypass,North Williamshire,IN,33415
3021,4030,2023-11-27 22:30:00,204.07,PayPal,Shipped,46564 Washington Stream,New Jeffreyfort,WV,96742
3022,10552,2023-08-07 07:46:00,3987.85,PayPal,Delivered,9548 Taylor Mission Apt. 753,Brownchester,WA,64656
3023,5991,2024-11-13 15:31:00,982.52,Credit Card,Returned,9791 Stephanie Valleys,Hoburgh,ID,93006
3024,2629,2024-06-27 11:17:00,2095.14,PayPal,Shipped,72884 Isaiah Summit,Jonestown,MA,79414
3025,8680,2024-06-02 08:45:00,309.24,Debit Card,Delivered,78061 Lewis Walk,Johnsonside,AZ,85966
3026,7694,2023-05-04 16:24:00,7724.26,Apple Pay,Delivered,48499 Bishop Highway Suite 436,Blackville,ME,23182
3027,8222,2023-01-22 21:40:00,4108.48,Bank Transfer,Delivered,761 Andre Hills,New Marilynmouth,MT,05346
3028,9973,2024-01-14 08:33:00,180.06,Credit Card,Shipped,00085 Steven Park,Thorntonmouth,AR,68983
3029,3539,2023-08-20 20:41:00,3708.28,PayPal,Delivered,5142 Crystal Ranch,South Allisonport,WV,75871
3030,5316,2024-06-02 10:00:00,3181.86,Debit Card,Delivered,944 Roger Dale Apt. 371,Jacobmouth,WI,56272
3031,3725,2024-12-18 18:46:00,1361.0,Debit Card,Delivered,33341 Jason Motorway Apt. 706,New Amy,GU,68030
3032,6759,2024-11-20 16:15:00,1466.71,Credit Card,Delivered,703 Meza Summit,Judyhaven,KY,77268
3033,7322,2024-10-25 08:17:00,69.76,Debit Card,Cancelled,29571 Richardson Points Suite 443,Patrickside,NM,39455
3034,10249,2023-08-12 22:11:00,2523.93,PayPal,Delivered,259 Krista Valley Suite 738,South Lindsey,MP,34203
3035,8541,2024-04-26 19:18:00,491.15,Google Pay,Shipped,3212 Montgomery Manors Apt. 054,East Tiffanyside,MP,13523
3036,1198,2024-11-26 15:31:00,1730.56,Debit Card,Cancelled,56276 Mccullough Islands Suite 884,Lake David,NV,55795
